"","Player","Team","GP","TOI","Shots Against","Saves","Goals Against","SV%","GAA","GSAA","xG Against","HD Shots Against","HD Saves","HD Goals Against","HDSV%","HDGAA","HDGSAA","MD Shots Against","MD Saves","MD Goals Against","MDSV%","MDGAA","MDGSAA","LD Shots Against","LD Saves","LD Goals Against","LDSV%","LDGAA","LDGSAA","Rush Attempts Against","Rebound Attempts Against","Avg. Shot Distance","Avg. Goal Distance"
"92","Nikke Kokko","SEA","3","159.51666666667","73","65","8","0.890","3.01","-1.06","6.73","15","12","3","0.800","1.13","-0.29","26","22","4","0.846","1.50","-0.79","26","25","1","0.962","0.38","-0.06","3","8","37.62","26.38"
"78","Hunter Shepard","OTT","1","22.766666666667","9","8","1","0.889","2.64","-0.14","0.99","1","1","0","1.000","0.00","0.18","4","3","1","0.750","2.64","-0.51","4","4","0","1.000","0.00","0.14","2","2","34.78","26.00"
"7","Sergei Bobrovsky","FLA","52","2364.8","977","867","110","0.887","2.79","-17.07","101.87","296","231","65","0.780","1.65","-11.47","209","178","31","0.852","0.79","-5.19","410","396","14","0.966","0.36","0.81","45","197","36.27","18.85"
"15","Jordan Binnington","STL","41","1921.05","814","722","92","0.887","2.87","-14.58","80.51","221","176","45","0.796","1.41","-5.03","194","168","26","0.866","0.81","-2.05","354","333","21","0.941","0.66","-8.22","31","187","35.05","21.18"
"40","Sam Montembeault","MTL","25","1093.3666666667","468","415","53","0.887","2.91","-8.49","51.63","137","109","28","0.796","1.54","-3.22","123","110","13","0.894","0.71","2.19","180","168","12","0.933","0.66","-5.50","17","100","35.31","21.79"
"97","Nikita Tolopilo","VAN","21","950.1","477","422","55","0.885","3.47","-9.63","50.67","140","113","27","0.807","1.71","-1.68","130","110","20","0.846","1.26","-3.95","192","184","8","0.958","0.51","-1.07","16","95","32.26","19.16"
"31","Vitek Vanecek","UTA","22","972.81666666667","387","342","45","0.884","2.78","-8.19","40.62","112","87","25","0.777","1.54","-4.74","93","79","14","0.849","0.86","-2.52","165","159","6","0.964","0.37","-0.04","18","95","35.54","20.02"
"36","Ville Husso","ANA","20","886.31666666667","406","359","47","0.884","3.18","-8.38","44.7","116","93","23","0.802","1.56","-2.02","106","88","18","0.830","1.22","-4.91","164","158","6","0.963","0.41","-0.08","8","105","34.03","20.45"
"49","Carter Hart","VGK","18","821.63333333333","333","294","39","0.883","2.85","-7.33","30.69","71","54","17","0.761","1.24","-4.16","100","87","13","0.870","0.95","-0.65","146","137","9","0.938","0.66","-3.73","11","66","37.33","23.23"
"86","Arvid Soderblom","CHI","26","1197.7166666667","641","566","75","0.883","3.76","-14.03","67.09","213","168","45","0.789","2.25","-6.48","156","134","22","0.859","1.10","-2.74","247","239","8","0.968","0.40","0.92","11","135","32.56","19.28"
